Agency,Agency Name
DOE,School - Bronx Health Sciences High School
DOE,School - Elijah Stroud Middle School
DOE,School - Bronx High School for the Visual Arts
DOE,School - Harlem Day Charter School
DOE,School - Harlem Renaissance High School
DOE,School - The Opportunity Charter School
DOE,School - East Side Community High School
DOE,School - Crotona Academy High School
DOE,School - Cynthia Jenkins School
DOE,School - School for Legal Studies
DOE,School - School for International Studies
DOE,School - Satellite Academy High School
DOE,School - A Philip Randolph Campus High School
DOE,School - Samuel J Tilden High School
DOE,School - Samuel Gompers Career and Technical Education High School
DOE,School - 723
DOE,School - Robert E Peary School
DOE,School - IS 219 New Venture School
DOE,School - IS 227 Louis Armstrong
DOE,School - Richard R Green High School of Teaching
DOE,School - Ralph R McKee Career and Technical Education High School
DOE,School - Ralph A Fabrizio School
DOE,School - IS 231 Magnetech 2000
DOE,"School - Queens High School of Teaching, Liberal Arts, and the Sciences"
DOE,School - Queens High School for the Sciences at York College
DOE,School - IS 281 Joseph B Cavallaro
DOE,School - IS 2 George L Egbert
DOE,"School - Science Skills Center High School for Science, Technology, and the Creative Arts"
DOE,School - IS 025 Adrien Block
DOE,School - Academy for New Americans
DOE,"School - The Marie Curie School for Medicine, Nursing, and Health Professions"
DOE,School - IS 059 Springfield Gardens
DOE,School - East New York Family Academy
DOE,School - IS 10 Horace Greeley
DOE,School - The Brooklyn School of Inquiry
DOE,School - The Bronx School of Science Inquiry and Investigation
DOE,School - The Bellaire School
DOE,School - The Angelo Patri Middle School
DOE,School - The Active Learning Elementary School
DOE,School - Earth School
DOE,School - EBC-ENY High School for Public Safety and Law
DOE,School - IS 136 Charles O Dewey
DOE,School - Accion Academy
DOE,School - Academy of Environmental Science Secondary High School
DOE,School - Space Shuttle Columbia School
DOE,School - South Shore High School
DOE,School - South Bronx Preparatory: A College Board School
DOE,School - Queens School for Career Development
DOE,School - MS 321 - Minerva
DOE,School - JHS 220 John J Pershing
DOE,School - PS 138 Samuel Randall
DOE,School - PS 299 Thomas Warren Field
